TimeStep,Equity
0,66719.5
1,44629.5
2,44629.5
3,44629.5
4,44629.5
5,29897.8
6,29897.8
7,29897.8
8,29897.8
9,29897.8
10,29897.8
11,29897.8
12,29897.8
13,29897.8
14,29897.8
15,29897.8
16,29897.8
17,29897.8
18,29897.8
19,29897.8
20,29897.8
21,29897.8
22,29897.8
23,29897.8
24,29897.8
25,29897.8
26,29897.8
27,29897.8
28,29897.8
29,29897.8
30,29897.8
31,29897.8
32,29897.8
33,29897.8
34,29897.8
35,29897.8
36,29897.8
37,29897.8
38,29897.8
39,29897.8
40,29897.8
41,29897.8
42,29897.8
43,29897.8
44,29897.8
45,29897.8
46,29897.8
47,29897.8
48,29897.8
49,29897.8
50,29897.8
51,29897.8
52,29897.8
53,29897.8
54,29897.8
55,29897.8
56,29897.8
57,29897.8
58,29897.8
59,29897.8
60,29897.8
61,29897.8
62,29897.8
63,29897.8
64,29897.8
65,29897.8
66,29897.8
67,29897.8
68,29897.8
69,29897.8
70,29897.8
71,29897.8
72,29897.8
73,29897.8
74,29897.8
75,29897.8
76,29897.8
77,29897.8
78,29897.8
79,29897.8
80,29897.8
81,29897.8
82,29897.8
83,29897.8
84,29897.8
85,29897.8
86,29897.8
87,29897.8
88,29897.8
89,29897.8
90,29897.8
91,29897.8
92,29897.8
93,29897.8
94,29897.8
95,29897.8
96,29897.8
97,29897.8
98,29897.8
99,29897.8
100,29897.8
101,29897.8
102,29897.8
103,29897.8
104,29897.8
105,29897.8
106,29897.8
107,29897.8
108,29897.8
109,29897.8
110,29897.8
111,29897.8
112,29897.8
113,29897.8
114,29897.8
115,29897.8
116,29897.8
117,29897.8
118,29897.8
119,29897.8
120,29897.8
121,29897.8
122,29897.8
123,29897.8
124,29897.8
125,29897.8
126,29897.8
127,29897.8
128,29897.8
129,29897.8
130,29897.8
131,29897.8
132,29897.8
133,29897.8
134,29897.8
135,29897.8
136,29897.8
137,29897.8
138,29897.8
139,29897.8
140,29897.8
141,29897.8
142,29897.8
143,29897.8
144,29897.8
145,29897.8
146,29897.8
147,29897.8
148,29897.8
149,29897.8
150,29897.8
151,29897.8
152,29897.8
153,29897.8
154,29897.8
155,29897.8
156,29897.8
157,29897.8
158,29897.8
159,29897.8
160,29897.8
161,29897.8
162,29897.8
163,29897.8
164,29897.8
165,29897.8
166,29897.8
167,29897.8
168,29897.8
169,29897.8
170,29897.8
171,29897.8
172,29897.8
173,29897.8
174,29897.8
175,29897.8
176,29897.8
177,29897.8
178,29897.8
179,29897.8
180,29897.8
181,29897.8
182,29897.8
183,29897.8
184,29897.8
185,29897.8
186,29897.8
187,29897.8
188,29897.8
189,29897.8
190,29897.8
191,29897.8
192,29897.8
193,29897.8
194,29897.8
195,29897.8
196,29897.8
197,29897.8
198,29897.8
199,29897.8
200,29897.8
201,29897.8
202,29897.8
203,29897.8
204,29897.8
205,29897.8
206,29897.8
207,29897.8
208,29897.8
209,29897.8
210,29897.8
211,29897.8
212,29897.8
213,29897.8
214,29897.8
215,29897.8
216,29897.8
217,29897.8
218,29897.8
219,29897.8
220,29897.8
221,29897.8
222,29897.8
223,29897.8
224,29897.8
225,29897.8
226,29897.8
227,29897.8
228,29897.8
229,29897.8
230,29897.8
231,29897.8
232,29897.8
233,29897.8
234,29897.8
235,29897.8
236,29897.8
237,29897.8
238,29897.8
239,29897.8
240,29897.8
241,29897.8
242,29897.8
243,29897.8
244,29897.8
245,29897.8
246,29897.8
247,29897.8
248,29897.8
249,29897.8
250,29897.8
251,29897.8
252,29897.8
253,29897.8
254,29897.8
255,29897.8
256,29897.8
257,29897.8
258,29897.8
259,29897.8
260,29897.8
261,29897.8
262,29897.8
263,29897.8
264,29897.8
265,29897.8
266,29897.8
267,29897.8
268,29897.8
269,29897.8
270,29897.8
271,29897.8
272,29897.8
273,29897.8
274,29897.8
275,29897.8
276,29897.8
277,29897.8
278,29897.8
279,29897.8
280,29897.8
281,29897.8
282,29897.8
283,29897.8
284,29897.8
285,29897.8
286,29897.8
287,29897.8
288,29897.8
289,29897.8
290,29897.8
291,29897.8
292,29897.8
293,29897.8
294,29897.8
295,29897.8
296,29897.8
297,29897.8
298,29897.8
299,29897.8
